sentence,label
weather Australia,5
Are there any lectures on Saturday,1
Where is DeepSpace located,2
Which lectures are there on Monday at 9,1
wiki where is the Taj Mahal located,3
(2+3)/5+3/2,4
which lectures are there on monday at 9,1
which lectures are there on tuesday at 12,1
which lectures are there at 12 on wednesday,1
which lectures are there at 12 on thursday,1
which lectures are there at 10 on friday,1
how do I get to deepspace,2
how do I get to the lecture hall,2
how do she get to c.0016,2
where is spacebox,2
where is the project room,2
where is c.0020 located,2
weather Istanbul,5
weather San Francisco,5
wiki Maastricht,3
wiki Alan Turing,3
wiki natural language processing,3
what is 9*12,4
what is 1/0,4
is 5+2 equal to 7,6
is 4*23 equal to 82,6
what is ((3+2)*4)/6,4
what is 4^2,4
what is the weather in London,5
wiki who is Queen Elizabeth II,3
how's the weather in Brussels,5
at 16 on Sunday which lectures are there,1
on monday at 9 which lectures are there,1
where is the library located,2
wiki what is the netherlands,3
what's the weather like in Amsterdam,5
can you find on wiki who is King Willem-Alexander,3
is (5-3)*2 equal to 2,6
what is ((3-9)^3)*2,4
how do you get to deepspace,2
what is the weather like in Singapore,5
which lectures are there on friday at 10,1
which lectures are there on thirsday at 11,1
which lectures are there at 13 on wednesday,1
which lectures are there at 12 on tuesday,1
which lectures are there at 10 on Monday,1
how do I get to spacedeep,2
how do I get to the hall,2
how do she get to c.1015,2
where is box,2
where is the project room,2
where is b.1013 located,2
weather Tokyo,5
weather Mexico,5
wiki Turing Test,3
wiki Alex Friedman,3
wiki theoritical computer science ,3
what is 9*12,4
what is 1/0,4
is 15+2 equal to 17,6
is 4*100 equal to 400,6
what is ((3+2)*4)/6,4
what is 4^2,4
what is the weather in London,5
wiki who is Queen Elizabeth II,3
how's the weather in Brussels,5
at 16 on Sunday which lectures are there,1
on monday at 9 which lectures are there,1
where is the library located,2
wiki what is the netherlands,3
what's the weather like in Amsterdam,5
wiki who is King Willem-Alexander,3
is (9-8)*3 equal to 1,6
what is ((3-12)^3)*2,4
how do you get to deepspace,2
what is the weather like in Philippines,5
which lectures are there on friday at 15,1
which lectures are there on thirsday at 13,1
which lectures are there at 9 on wednesday,1
which lectures are there at 10 on tuesday,1
which lectures are there at 15 on Monday,1
how do I get to deepspa,2
how do I get to the hall lecture,2
how do she get to c.2011,2
where is box,2
where is the room project,2
where is b.3001 located,2
weather Beijing,5
weather Mexico City,5
wiki what is software testing,3
wiki computer graphics algorithms,3
wiki Linear programming ,3
what is 3*32,4
what is 8/0,4
is 15+2 equal to 17,6
is 83*40 equal to 3320,6
what is ((3+2)*4)/6,4
what is 13^2,4
what is the weather in Edingburgh,5
wiki who is the current president of Canada,3
how's the weather in Antwerp,5
at 13 on Sunday which lectures are there,1
on thursday at 9 which lectures are there,1
where is the Randwyck library located,2
wiki what is the netherlands,3
what's the weather like in Njimegen,5
wiki what are the current emerging trends in cybersecurity,3
